productType,productName,price,url,description,terrain,abilityLevel,rockerType,shape,flexRating,materials,warranty
Snowboard,Ride Saturday Snowboard - Women's 2023,$449.95,https://www.evo.com/snowboards/ride-saturday-snowboard-womens,"A high level twin designed for smaller riders, and it comes preloaded with positive vibes? Can we say yes please twice? The Ride Saturday Snowboard is sweeter than the weekend after a long week of work. It's an all around blast for all-mountain jibbing, it kills it in the park, and it even holds its own in the powder. Weekend warriors and everyday rippers agree: everyday should be a Saturday kind of day.","Freestyle, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,True Twin,Medium,"Carbon, Wood",3 Years
Snowboard,Roxy Breeze C2 Snowboard - Women's 2023,$449.99,https://www.evo.com/snowboards/roxy-breeze-c2-snowboard-womens,"Shoot the breeze with a board that feels just right from the get go. The Roxy Breeze C2 Snowboard combines a smooth riding C2 Hybrid contour with grippy Magne-Traction® edges for precision edge control in any snow conditions. With mild taper and a slightly setback stance, the Breeze makes it easy to maintain control and keep your nose up in powder, perfect for the rider who loves soul surfing through fields of fresh.",All-Mountain,Intermediate-Advanced,Camber/Rocker/Camber,Directional,Medium,Wood,1 Year
Snowboard,Jones Ultra Prodigy Snowboard - Kids' 2024,$399.95,https://www.evo.com/snowboards/jones-ultra-prodigy-snowboard-kids,"The Jones Ultra Prodigy Snowboard takes their high performance youth board to new heights, with more pop, response, and capabilities. This board is much stiffer than most, making it the perfect next step before a full-on adult board. It's running full traditional camber throughout its length, ready for harder charging riders who want to lock into carves, boost jumps, and just generally rip. It still has that great shape and subtle 3D base contouring to keep things from getting too much to handle, but it's no beginner board. Get Ultra!","Freestyle, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Directional Twin,Soft,Wood,1 Year
Snowboard,Burton Grom Snowboard - Kids' 2023,$229.95,https://www.evo.com/snowboards/burton-grom-snowboard-kids,"Going, going, GROM! They grow up fast, so make sure you set your kid up for success by getting them on the Burton Grom Snowboard. Sized for growing rippers, the Grom is designed to instill a lifelong love of snowboarding. The Flat Top Easy Bevel design makes it hard to catch an edge, and the smooth contours and flex profile make the board fun and forgiving for riders going from strength to strength.",All-Mountain,Beginner-Intermediate,Flat,True Twin,Soft,Wood,1 Year
Snowboard,GNU Chromatic BTX Snowboard - Women's 2023,$449.99,https://www.evo.com/snowboards/gnu-chromatic-btx-snowboard-womens,"The GNU Chromatic BTX Snowboard is directional and progression-focused. Utilizing the awesome Original Banana rocker profile, this board is lively and reactive while remaining smooth-tempered and catch-free. It turns easily, pivots playfully, and provides a dependable platform on which you will easily master the art of the carve, and unlock the true colors of the mountain.",All-Mountain,Beginner-Intermediate,Camber/Rocker/Camber,Directional,Soft,Wood,1 Year
Snowboard,Jones Mind Expander Splitboard 2024,$929.95,https://www.evo.com/splitboards/jones-mind-expander-splitboard,"Fresh off a thorough renovation for the new season, the new Jones Mind Expander Splitboard still rocks the surf-derived shape dreamed up by Chris Christenson and Jeremy Jones, but with the stance moved forward 20cm for better hard snow performance and a re-distributed flex that's a bit softer between the bindings and a bit stiffer at the nose. As before, your enjoyment of steep sidehills is enhanced by Inner/Outer Traction Tech 1.0 edges and full Karakoram hardware make this board ride more like a solid than a split.",Splitboarding,Advanced-Expert,Rocker,Directional,Medium,Wood,3 Years
Snowboard,Jones Youth Solution Splitboard - Kids' 2024,$599.95,https://www.evo.com/splitboards/jones-youth-solution-splitboard-kids,"The Jones Youth Solution Splitboard is a sized-down splitboard for the smaller set with full-blown adult level features and quality. When the grom is ready for the transition into the backcountry, it's essential to get them geared up right, and trusting Jones to get it dailed is a no-brainer - they've been doing it longer than anyone. A host of subtle touches guarantee better grip while skinning, easier turn transitions in variable snow, and more powerful downhill performance when it's all together. A great solution for bigger kids and smaller adults.",Splitboarding,Intermediate-Advanced,Rocker/Camber/Rocker,Directional,Medium,Wood,3 Years
Snowboard,Lib Tech Skate Banana BTX Snowboard - Blem 2023,$559.99,https://www.evo.com/snowboards/lib-tech-skate-banana-btx-snowboard-blem,"The board that started it all. The Lib Tech Skate Banana BTX Snowboard was the originator of Lib Tech's signature Banana rocker technology. By  placing cambered pockets under each foot with a rockered section in the middle, the Skate Banana lets you pop and pivot at will, enjoying all the benefits of both rocker and camber. With Magne-Traction enhanced edging on groomers and a park ready twin profile, this board is simple, intuitive, and ready to do it all in the resort. *Please Note: This is a factory blem product and may have slight cosmetic issues that do not impact performance.*","Freestyle, All-Mountain",Beginner-Intermediate,Camber/Rocker/Camber,True Twin,Soft,Wood,1 Year
Snowboard,GNU Antigravity C3 Snowboard 2023,$479.99,https://www.evo.com/snowboards/gnu-antigravity-c3-snowboard-2023,"As a snowboarder, gravity is your best friend and your arch nemesis. It pulls you down the hill, giving you the speed you need to soar, even as you do your best to escape its clutches. The GNU Antigravity C3 Snowboard is your new favorite pair of dancing shoes, helping you cha-cha just a little smoother in your dance with kinetic energy. It's an easy riding directional board that floats above the powder, soars off of natural features, and keeps you speeding by on your feet when the slippery slopes of the mountain are trying to drag you down for a hug.",All-Mountain,Intermediate-Advanced,Camber/Rocker/Camber,Directional,Medium,Wood,1 Year
Snowboard,Jones Stratos Splitboard 2023,$949.95,https://www.evo.com/splitboards/jones-stratos-splitboard,"We love the Stratos, and we love the backcountry. Ergo, we love the Jones Stratos Splitboard. This all new split brings the same do anything, go anywhere energy of the solid to an altogether larger alpine canvas. It combines a directional shape with freestyle board feel for an insanely versatile hybrid shape that's just as comfortable arcing perfect carves as it is slashing pow turns and buttering off backcountry booters. Laid up with Jones' finest tech for optimal performance on the skin track and descent alike, this board will revolutionize your approach to touring.",Splitboarding,Advanced-Expert,Rocker/Camber/Rocker,Directional,Stiff,"Basalt, Wood",3 Years
Snowboard,K2 Dreamsicle Snowboard - Women's 2023,$429.95,https://www.evo.com/snowboards/k2-dreamsicle-snowboard-womens,"Smooth turns, silky side hits, and soft stashes. The K2 Dreamsicle Snowboard rides like a dream through your all-mountain playgrounds. The directional rocker profile keeps a wide area of flat board between your feet for plenty of control, catchless turns, and easy float. Paired with a twin shape and a healthy setback stance, the Dreamsicle is a solid, dependable platform for any inbounds exploration. It's an all terrain daydream whether you're just starting out or expanding your repertoire.",All-Mountain,Beginner-Intermediate,Rocker/Flat/Rocker,Directional Twin,Soft,"Carbon, Wood",3 Years
Snowboard,K2 Broadcast Snowboard 2023,$479.95,https://www.evo.com/snowboards/k2-broadcast-snowboard,"The K2 Broadcast Snowboard can do it all. It's built around the three D's: dependable, directional, and darn fun to ride. With the just the right blend of rocker and camber and a medium-stiff flex profile, this board is accessible and powerful for the all-mountain ripper who wants to ride it all.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Directional,Stiff,"Bamboo, Carbon, Wood",3 Years
Snowboard,GNU Barrett Splitboard - Women's 2023,$999.99,https://www.evo.com/splitboards/gnu-barrett-splitboard-womens,"Once you're no longer constrained by boundaries and chairlifts, a whole new world of possibility opens up to you. And if you've spent your resort riding days looking for untracked powder and steep faces, the backcountry is so sweet you might never go back. The GNU Barrett Splitboard was hand built in the rugged Olympic mountains with just the goal of helping you explore this snowy new world of ultimate freedom. Designed to be featherweight on the way up while offering premium freeride performance on the way down, the Barret Split offers the best of both worlds. It's floaty in power, precise on edge, and easy to navigate through any situation you might encounter.",Splitboarding,Advanced-Expert,Camber/Rocker/Camber,Directional,Stiff,"Carbon, Wood",1 Year
Snowboard,Ride Compact Snowboard - Women's 2023,$429.95,https://www.evo.com/snowboards/ride-compact-snowboard-womens,"The Ride Compact Snowboard is jam packed with fun. This easy riding directional snowboard is the perfect all-mountain progression machine. It has a smooth flex that bends easily into any turn shape, provides plenty of edge hold thanks to its cambered midsection, and allows for catchless turn initiation thanks to the rockered tip. If you're looking for a board to help you thrive all over the resort, mastering groomers and stepping up to the steeps, the Compact is exactly what you've been seeking.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Directional,Soft,Wood,3 Years
Snowboard,K2 Cold Shoulder Snowboard - Women's 2023,$479.95,https://www.evo.com/snowboards/k2-cold-shoulder-snowboard-womens,"Time to give your old board the cold shoulder. And give the cold smoke the K2 Cold Shoulder Snowboard. This directional ripper is a board that you can dress up or down depending on the day. With a directional freeride shape and a poppy, streamlined design, the Cold Shoulder is a warm friend to the steep and deep. But a smooth medium flex and combination camber profile make it surprisingly easy to ride for a wide variety of riders. It's stable at high speeds and playful at slower ones, making this an easy choice as a one board quiver for competent directional riders.","All-Mountain, Freeride",Intermediate-Advanced,Rocker/Camber/Rocker,Directional,Medium,"Carbon, Wood",3 Years
Snowboard,K2 Standard Snowboard 2023,$419.95,https://www.evo.com/snowboards/k2-standard-snowboard,"The K2 Standard Snowboard is exactly what is sounds like. This is the gold-standard entry level snowboard, against which all other snowboards must be compared. It's an easy-flexing rockered board with point-and-shoot intuitive turn initiation, a classic aspen core, and a low-maintenance extruded base. If you're looking for your first board and don't know what you want between all of the high-tech boards with crazy shapes and laminates, the Standard is a good place to start. It has everything you need in a beginner / intermediate board, and nothing you don't.",All-Mountain,Beginner-Intermediate,Rocker/Flat/Rocker,Directional Twin,Soft,Wood,3 Years
